stars,forks,language,total_commits,issues_count,team_size,KLOC,Effort_pm
33,10,JavaScript,1253,2,8,62.65,18.19562173205585
3,3,Swift,22,2,1,1.1,1.3119403304313324
1,0,C,352,2,1,17.6,4.770294532543681
0,8,Go,31,3,1,1.55,1.3586909300627579
16,0,C++,1130,1,2,56.5,15.460288851199564
0,0,Python,92,18,1,4.6,2.417375542505658
0,0,Shell,82,0,1,4.1,1.2199063091961744
60,21,TypeScript,1200,4,4,60.0,16.6837131207159
1,0,C,131,1,1,6.55,1.0230207763551074
4,2,Go,313,5,1,15.65,3.9101664737402118
5,3,Python,594,24,3,29.7,8.801231251661743
4,0,Python,261,10,4,13.05,5.716416914265562
1,0,C++,6,0,1,0.3,0.1
8,2,Go,123,13,1,6.15,3.0315827473378523
34,8,Python,679,12,8,33.95,10.748991383130484
171,34,C#,601,38,9,30.05,10.320196827548692
13,3,Kotlin,1742,14,6,87.1,26.036213883729943
17,3,Java,224,7,4,11.2,3.9462826547123537
2,4,Java,312,11,3,15.6,4.2106872442243315
0,2,Python,20,6,1,1.0,2.2042181275886037
5,0,PHP,456,1,3,22.8,7.737849460750475
112,21,JavaScript,1286,10,12,64.3,20.883438532942055
32,2,Kotlin,270,1,2,13.5,4.997651324376383
4,2,TypeScript,983,4,3,49.15,13.04349645346323
2,2,Go,94,1,1,4.7,2.106617679684159
9,12,JavaScript,708,21,4,35.4,11.848302200344031
7,0,Python,146,4,1,7.3,3.434841607406629
8,0,Ruby,691,11,4,34.55,9.260123984103265
5,0,Java,116,3,3,5.8,2.9623736916641406
12,0,Go,724,0,5,36.2,8.725182305521328
63,6,Dart,298,1,3,14.9,4.38958557063666
2,3,Dart,16,12,1,0.8,0.1
1,3,Kotlin,33,1,1,1.65,1.3784844271996843
37,7,JavaScript,135,2,7,6.75,2.42275388293662
15,3,Go,453,7,7,22.65,7.688074379717665
1,0,Kotlin,275,4,1,13.75,3.039055362070417
6,0,TypeScript,798,12,5,39.9,11.84288316436329
19,0,Python,1820,4,7,91.0,26.54518468398853
29,0,PHP,930,9,5,46.5,13.325675200666785
118,39,Java,978,16,9,48.9,16.090774198672577
13,10,Go,918,7,3,45.9,13.22969230176706
2,0,Lua,225,1,1,11.25,2.506935449840255
4,2,Rust,702,5,4,35.1,10.941492017924997
11,4,TypeScript,199,11,1,9.95,3.2166887303925593
12,4,TypeScript,154,10,6,7.7,2.8386784865685684
3,0,TypeScript,285,0,2,14.25,4.373602561669492
11,6,Python,354,1,5,17.7,5.807916848672138
46,7,PHP,306,1,6,15.3,4.419453189298443
2,5,Swift,96,7,1,4.8,0.1
6,0,JavaScript,10,4,2,0.5,0.7836672817659611
6,0,JavaScript,307,0,3,15.35,3.811174383269357
18,7,Kotlin,539,5,4,26.95,10.561395027298627
6,0,Python,208,1,3,10.4,0.11631535568006335
9,7,Java,116,1,1,5.8,1.4395775265491437
2,0,Java,268,3,2,13.4,3.610194181392657
5,0,C++,607,5,3,30.35,7.891186597651863
1,0,Python,39,28,1,1.95,1.0279871747100027
2,0,C++,48,11,1,2.4,0.5069258640235694
2,1,TypeScript,100,0,1,5.0,0.1
198,31,Rust,187,4,13,9.35,1.7661596252711735
2,3,Python,609,0,3,30.45,7.402840690470921
2,4,Java,280,3,2,14.0,2.81921526373052
1,0,Java,139,0,1,6.95,2.002140830947586
7,12,JavaScript,1329,13,3,66.45,19.930160501736168
2,7,Python,389,1,2,19.45,7.070940598976804
98,22,JavaScript,832,8,3,41.6,11.235471763022428
2,0,TypeScript,404,6,1,20.2,6.9470610424001125
16,0,Python,1085,19,7,54.25,16.067310655382855
10,3,Shell,368,0,2,18.4,5.370958797270061
19,0,TypeScript,1126,3,6,56.3,16.793378792847385
7,0,PHP,686,2,5,34.3,12.418360372235293
71,2,Julia,188,10,4,9.4,4.40707802456593
14,0,Python,1869,1,7,93.45,28.271932621023854
9,7,Rust,371,2,5,18.55,3.6057628916219193
13,2,Kotlin,381,0,5,19.05,7.76666624549337
5,0,Rust,162,0,3,8.1,1.7835282145913223
20,7,TypeScript,156,0,3,7.8,1.7901353695293647
28,0,TypeScript,322,8,6,16.1,4.5850106641394275
46,6,Python,233,9,2,11.65,3.892956786680192
14,5,Go,250,1,4,12.5,4.5394949375546885
7,3,R,207,6,4,10.35,1.5810178728476059
2260,257,Dart,1561,5,21,78.05,24.17893563481185
28,15,Python,216,4,3,10.8,3.2331857738853986
143,23,C++,585,8,3,29.25,8.176866022566031
32,2,JavaScript,115,3,1,5.75,1.8583362887767962
55,9,C,1325,6,10,66.25,19.60733818551282
17,12,Python,715,8,4,35.75,10.387252910776494
3,2,Shell,256,1,1,12.8,3.8771395450524375
0,0,Swift,14,11,1,0.7,0.6239012288751247
7,0,Python,53,13,1,2.65,1.2762271982296844
0,0,Python,21,11,1,1.05,0.1
42,11,Swift,1012,0,7,50.6,14.844828763670211
7,1,Python,1146,2,5,57.3,16.562321093334237
33,6,Go,631,6,5,31.55,10.373501174393802
3,0,C,56,3,3,2.8,0.516077116911998
28,11,Go,102,0,1,5.1,0.1
72,10,TypeScript,329,9,7,16.45,6.215676661809647
29,10,Java,179,5,5,8.95,2.2921161606170477
4,2,Python,449,1,2,22.45,7.179645125736283
27,3,Dart,2296,1,9,114.8,35.02403665939431
14,2,JavaScript,711,3,5,35.55,11.60626814646444
5,6,JavaScript,284,6,3,14.2,3.9385856389101117
6,0,JavaScript,117,4,1,5.85,2.1170065952396646
2,5,Dart,117,0,2,5.85,1.2220655751833815
30,7,Python,985,1,5,49.25,14.392423452678129
34,13,Kotlin,653,8,8,32.65,9.625273490241403
11,1,C++,1278,0,5,63.9,19.63087688991101
95,16,Swift,110,6,11,5.5,3.0221518049625398
2,0,Julia,143,0,1,7.15,2.28959885513895
10,1,Swift,1269,0,6,63.45,18.453788443137604
0,3,Shell,624,3,1,31.2,9.669074147904567
36,7,Python,965,3,7,48.25,15.02848772725166
7,7,PHP,340,7,2,17.0,4.169988015297641
67,11,Go,3440,10,11,172.0,53.11264569991273
13,0,Go,250,1,4,12.5,1.8276859159171737
10,0,Scala,102,4,2,5.1,1.4906695554261784
43,1,Julia,4909,13,11,245.45,76.62235228922921
4,3,C++,504,2,2,25.2,7.376382972742784
10,5,Java,996,2,6,49.8,15.98170181539875
29,0,Java,1646,1,8,82.3,24.20809214224235
6,7,TypeScript,825,6,3,41.25,12.86675483450598
8,0,TypeScript,199,3,2,9.95,2.9848472011877036
3,0,TypeScript,179,0,1,8.95,1.269061476875945
5,0,Python,142,4,2,7.1,2.3313774013046955
2,2,Python,389,2,2,19.45,5.6874402680380225
4,1,Ruby,211,1,1,10.55,3.8145749088820042
0,3,Java,15,6,1,0.75,0.48661883183866905
1,9,Shell,110,7,1,5.5,0.8786308539337505
7,3,Rust,131,1,3,6.55,3.2838417209873167
6,0,Python,89,2,3,4.45,2.781685501392987
22,4,Python,1027,11,6,51.35,14.062226344546145
15,12,JavaScript,1672,5,7,83.6,26.648352855107458
8,5,Julia,103,3,1,5.15,1.5042425840794866
0,4,JavaScript,193,3,1,9.65,3.2318854148274583
51,3,Java,284,20,8,14.2,5.296791034982129
3,2,Shell,88,13,1,4.4,1.6175727087065375
14,1,Julia,806,10,3,40.3,11.01056958642647
10,0,JavaScript,58,6,5,2.9,0.8872020639785223
2,0,Python,62,14,1,3.1,1.1133466641435794
1,0,Python,20,3,1,1.0,0.1
0,0,Python,112,8,1,5.6,3.067301260575455
58,7,JavaScript,1758,4,5,87.9,26.674044051270375
2,0,Go,165,10,1,8.25,3.105823459553915
288,77,C,1854,5,6,92.7,28.49840500782157
4,1,Go,290,10,1,14.5,0.9468014297755598
24,10,Rust,860,10,7,43.0,12.214909582746403
0,4,JavaScript,299,5,1,14.95,4.849410037922035
15,3,PHP,518,5,2,25.9,7.3600090635150925
2,0,Rust,150,0,1,7.5,1.7088647418315162
0,0,Kotlin,362,1,1,18.1,5.152125657911584
0,2,Shell,502,1,1,25.1,8.115216714676361
21,0,TypeScript,612,3,3,30.6,8.832487054018971
1,0,Python,223,5,1,11.15,2.0380903872982934
5,3,JavaScript,669,1,4,33.45,9.794090478990489
36,12,TypeScript,36,0,2,1.8,1.4638692015700552
4,10,Shell,336,11,1,16.8,5.305842537987387
0,0,TypeScript,50,0,1,2.5,0.1
0,0,Ruby,26,12,1,1.3,0.4566574296710668
3,1,Go,133,1,1,6.65,1.2004732987487632
6,2,JavaScript,395,6,5,19.75,6.6111072155217325
163,19,JavaScript,2204,4,13,110.2,33.42502140042647
10,3,Rust,55,14,1,2.75,1.063231333766601
6,3,C++,92,8,2,4.6,1.751859710742705
9,0,TypeScript,2035,5,6,101.75,29.77946995925756
1,0,JavaScript,142,0,1,7.1,1.831290281316326
3,0,C#,101,4,2,5.05,2.5562645772166164
2076,606,Python,143,4,7,7.15,3.1418712171725436
6,4,Shell,257,5,3,12.85,3.106441450879882
33,3,JavaScript,218,2,3,10.9,1.2452896724903324
11,3,Python,1079,8,4,53.95,14.683773193675476
169,29,Java,1252,3,14,62.6,18.765678361467934
1,0,Java,251,1,1,12.55,4.106464377266974
4,0,Java,887,3,4,44.35,11.923744855615777
9,4,TypeScript,86,1,4,4.3,1.7905993707810928
2,5,R,420,1,1,21.0,6.801330511169828
5,3,Java,176,5,5,8.8,4.031979181600866
10,9,Java,183,1,7,9.15,2.5904632435640904
32,6,TypeScript,622,7,4,31.1,8.650372229577293
7,0,Python,201,1,6,10.05,2.9922627818678365
1,0,Go,261,10,2,13.05,2.727692420896309
1,0,JavaScript,190,9,1,9.5,2.840378045486028
20,10,Rust,812,1,4,40.6,13.000213290729114
1,4,Python,38,1,1,1.9,0.6166962321091931
28,0,Lua,266,8,1,13.3,3.4356894322056384
22,7,Java,140,11,2,7.0,1.236653743870419
36,9,Scala,79,5,4,3.95,1.278009430546944
12,0,Java,620,10,7,31.0,10.982601847620199
5,0,Python,403,4,2,20.15,6.161291440215292
5,8,Swift,169,5,4,8.45,2.684857954635029
7,0,Rust,691,4,5,34.55,9.480246697132344
85,7,PHP,2063,5,8,103.15,32.57950687232641
9,7,TypeScript,674,6,5,33.7,8.851281368265395
1,0,Rust,93,1,1,4.65,1.8289732861178596
6,4,Kotlin,356,7,2,17.8,4.827794254279344
1,0,Rust,187,1,1,9.35,3.2450617001992432
0,0,TypeScript,220,2,1,11.0,3.0298982833582593
6,0,C++,248,7,4,12.4,3.537550905569805
3,4,C++,31,2,1,1.55,0.9516554220312937
1,0,Dart,16,23,1,0.8,0.1
87,2,TypeScript,205,9,6,10.25,3.456408174691207
61,21,TypeScript,923,13,11,46.15,15.861762900260183
2,0,PHP,218,7,3,10.9,3.410065313077283
6,0,Java,78,2,1,3.9,0.36251754666423175
13,3,C#,89,8,5,4.45,2.269185001613043
1,4,Java,185,2,1,9.25,1.1426253682453609
2,0,JavaScript,59,2,2,2.95,0.954229285377006
9,0,C#,48,19,2,2.4,1.0255527951188257
86,29,Python,610,11,7,30.5,9.815527512905158
16,6,JavaScript,137,2,4,6.85,1.3998531218404042
1494,121,Rust,5126,70,18,256.3,85.50011644495943
2,7,C#,69,2,1,3.45,0.10658864183924976
72,11,Scala,569,11,11,28.45,9.549677224592845
40,13,JavaScript,188,4,2,9.4,1.6371197966067494
3,1,Python,154,14,1,7.7,2.4239589177107526
4,0,Dart,82,8,1,4.1,1.9790891268927986
31,5,Python,535,5,3,26.75,7.806407110300778
151,53,JavaScript,815,7,10,40.75,12.191433091717192
3,6,JavaScript,828,7,2,41.4,12.012312924468882
93,2,Java,622,7,7,31.1,7.394094673728601
5,0,Scala,860,1,5,43.0,12.246465650781058
8,3,Ruby,217,3,5,10.85,1.078468887244672
3,0,C++,217,8,2,10.85,4.354058734688846
7,0,Python,676,5,4,33.8,10.25235681290636
3,1,TypeScript,189,2,1,9.45,3.088520551779064
10,2,Java,752,7,3,37.6,11.331413004253736
3,0,Python,319,1,3,15.95,5.019365768280817
554,179,JavaScript,359,4,18,17.95,5.815626979349979
21,9,JavaScript,1300,3,8,65.0,17.91358713580306
6,0,Python,764,3,4,38.2,8.384421051645774
5,1,Go,449,4,4,22.45,6.877342450894102
10,3,C++,336,6,2,16.8,6.7046901978747195
9,2,Python,176,2,3,8.8,2.9952525914172194
6,0,Java,176,13,3,8.8,2.281831655106151
10,0,PHP,699,1,4,34.95,9.639346217055863
3,0,C#,94,15,1,4.7,2.0579236358424677
66,7,PHP,1461,2,8,73.05,22.708051461689042
1,7,Java,132,5,1,6.6,1.3397111431535436
0,3,Swift,82,0,1,4.1,0.4795651337036777
0,0,JavaScript,119,0,1,5.95,2.90203425041176
3,0,TypeScript,141,2,2,7.05,1.2374125037484534
77,32,Python,4019,1,12,200.95,61.160497603554376
0,0,Java,67,5,1,3.35,2.1000941764952294
11,4,TypeScript,499,5,6,24.95,9.112037774295857
0,6,JavaScript,45,2,1,2.25,0.1
19,8,Ruby,299,2,4,14.95,4.527378685346548
1,1,JavaScript,95,2,1,4.75,2.2710235390155527
0,6,JavaScript,18,1,1,0.9,0.1
4,0,Python,246,5,3,12.3,2.546790732310262
0,12,TypeScript,43,14,1,2.15,0.6768199458543026
2,1,JavaScript,39,1,1,1.95,1.535457434386423
52,19,TypeScript,1724,2,8,86.2,27.699721729812886
0,0,JavaScript,239,12,1,11.95,2.9520348420225284
27,9,Ruby,35,5,2,1.75,1.43020162797746
12,3,Shell,303,7,6,15.15,5.888503971301957
74,19,Java,1009,6,12,50.45,14.97142098999281
66,17,Rust,367,4,3,18.35,6.7928366057223855
5,0,Kotlin,1086,1,5,54.3,15.709327222568922
26,10,R,534,13,8,26.7,9.553421492380625
94,13,Rust,1012,7,3,50.6,13.075033639929263
17,1,Scala,416,1,2,20.8,7.56804128634807
0,6,C,57,3,1,2.85,1.2233185979122798
4,0,PHP,80,1,3,4.0,1.2889400886631541
3,7,Java,117,13,2,5.85,2.780821780834387
89,15,Python,497,7,11,24.85,9.416788020212662
0,0,Python,23,0,1,1.15,1.0973921311144874
0,0,Java,4,3,1,0.2,1.1192835090902309
36,13,Java,935,4,8,46.75,13.350843394624981
15,0,TypeScript,864,3,4,43.2,11.074820265645505
0,0,Go,58,1,1,2.9,1.065290276663175
17,0,Go,2377,13,7,118.85,35.021399053142936
20,6,Swift,362,0,2,18.1,5.580857543209355
57,5,Python,242,3,6,12.1,3.4043479769844542
191,62,JavaScript,3246,6,14,162.3,50.66414151891676
0,0,PHP,207,0,1,10.35,4.299644274094349
7,1,Swift,314,6,2,15.7,6.335522614134395
10,2,R,535,2,3,26.75,8.570150830800843
8,0,Kotlin,122,1,1,6.1,2.1474476828773756
30,5,Scala,720,5,3,36.0,9.910745868046869
945,80,JavaScript,400,27,3,20.0,6.991675612881817
1281,428,TypeScript,1484,26,13,74.2,22.159810541142
17,0,JavaScript,1044,6,8,52.2,15.381571724937174
25,9,Rust,129,1,2,6.45,3.1655523462295454
39,7,Shell,1354,3,10,67.7,20.559325751533386
0,0,TypeScript,278,1,1,13.9,3.3987477307917544
2,0,Go,225,3,1,11.25,1.9162373877774244
1,15,JavaScript,53,5,1,2.65,1.358906559862966
52,15,Python,768,11,6,38.4,13.413127347956156
198,36,JavaScript,958,11,5,47.9,13.43119571841902
6,0,Python,133,3,4,6.65,2.637690263755171
1,0,Shell,126,3,1,6.3,3.1466560012028486
24,2,TypeScript,2204,2,7,110.2,33.32099398861789
2,9,Swift,125,9,1,6.25,0.6596813625752169
7,3,C++,821,4,4,41.05,12.173089832976933
1,4,JavaScript,69,1,1,3.45,2.5071018277113986
13,0,Python,572,2,6,28.6,7.1661992365066745
7,0,PHP,691,0,4,34.55,10.011408218912132
16,5,JavaScript,823,11,5,41.15,13.496930761367468
8,0,C,459,5,6,22.95,6.5751669121863765
4,2,Python,101,2,4,5.05,1.2014387118545424
48,16,C++,509,3,10,25.45,8.650830164984685
1,3,PHP,271,3,1,13.55,4.930183372122714
0,0,JavaScript,190,22,1,9.5,1.6309350895722028
8,7,JavaScript,398,7,4,19.9,6.080918347779613
0,0,Dart,82,5,1,4.1,0.275615846531874
1,0,JavaScript,323,5,1,16.15,4.092131212311383
1,7,TypeScript,161,4,1,8.05,2.493765702213665
1,0,TypeScript,222,4,1,11.1,4.381015081143722
24,0,JavaScript,405,7,5,20.25,6.409494136254703
3,0,Ruby,199,4,2,9.95,1.5831338604968428
48,9,Ruby,151,11,6,7.55,1.5690403494623841
10,8,TypeScript,340,4,6,17.0,5.654722969482037
49,9,Swift,529,6,10,26.45,11.144304123232477
14,13,JavaScript,273,3,6,13.65,4.5610512351114565
11,1,Python,464,9,4,23.2,7.192022077209759
13,3,Go,1101,1,6,55.05,17.91332909516894
0,0,R,6,5,1,0.3,0.5924126435319939
7,11,Python,502,3,4,25.1,8.099077406673533
1,0,JavaScript,180,2,1,9.0,2.569091677210694
10,0,Java,249,1,2,12.45,3.430320012021211
15,17,PHP,951,5,3,47.55,12.490492529191027
21,3,Python,2017,5,6,100.85,29.145338629897935
4,5,TypeScript,348,2,4,17.4,3.8748020687434717
1,8,C#,227,3,1,11.35,2.138240883643866
24,9,TypeScript,1156,0,4,57.8,16.4049153711121
55,9,JavaScript,945,5,9,47.25,14.800449981967652
1,0,JavaScript,99,2,1,4.95,1.4428201200470818
3,4,TypeScript,161,3,1,8.05,1.8488018258574996
7,1,Java,431,1,2,21.55,5.427323447846596
26,4,Kotlin,577,15,8,28.85,8.835905383854378
13,4,Rust,2280,6,6,114.0,34.49202976441952
10,0,C++,556,9,3,27.8,9.197900007897772
0,2,Lua,62,0,1,3.1,1.7062910209060267
2,3,TypeScript,592,5,2,29.6,8.40734579822902
32,12,TypeScript,1864,3,9,93.2,29.8431208787014
24,9,C,587,4,2,29.35,9.59307672975174
3,10,JavaScript,50,0,2,2.5,0.6705574624067006
58,15,C#,348,9,2,17.4,2.338907130336875
0,0,Ruby,32,12,1,1.6,2.9005135256197963
3,2,Python,32,3,1,1.6,0.1
2,7,Java,17,1,1,0.85,0.1
1,0,JavaScript,175,0,1,8.75,1.9276919470743974
0,10,JavaScript,68,0,1,3.4,0.7520755053926423
8,0,Java,48,14,4,2.4,0.4340258503611063
17,9,JavaScript,107,3,2,5.35,2.490123164726662
5,1,PHP,891,7,3,44.55,13.39968457117896
3,0,C,36,9,1,1.8,0.6119423652508288
4,0,PHP,328,13,3,16.4,5.662242231945536
27,8,JavaScript,414,13,2,20.7,6.263338514854072
1,0,JavaScript,19,3,1,0.95,0.5078066285608989
0,0,JavaScript,209,10,1,10.45,2.47327224641594
104,39,Python,276,11,3,13.8,3.5952700057656717
4,9,Shell,1678,8,4,83.9,23.422496017202167
112,20,TypeScript,177,8,3,8.85,2.358555462519043
299,55,JavaScript,276,11,4,13.8,4.210537220276251
122,14,Swift,915,7,4,45.75,15.286387359601408
18,2,TypeScript,872,2,2,43.6,13.694918136723794
0,6,Python,20,7,1,1.0,0.1
779,45,Python,1149,19,10,57.45,19.077200481037
11,6,Rust,167,4,2,8.35,1.9584675851098217
2,0,PHP,91,4,2,4.55,0.8815350300924261
24,0,JavaScript,546,3,7,27.3,7.655590419519161
1,6,C,101,21,2,5.05,3.7896558473315736
2,3,Kotlin,143,6,2,7.15,1.5558058996680395
17,0,Swift,123,3,2,6.15,2.5135193667537234
0,9,JavaScript,26,3,1,1.3,0.1
13,13,Python,239,0,7,11.95,1.194021770289016
5,3,Kotlin,209,1,4,10.45,3.3905175413966013
17,0,JavaScript,351,5,2,17.55,5.2617135227167
22,5,Rust,713,0,7,35.65,11.264300795059633
2,0,Ruby,61,1,1,3.05,1.5978322394485156
39,11,Python,835,7,5,41.75,13.798898649727379
17,0,PHP,119,9,1,5.95,1.4767062380798741
1,0,Shell,630,3,2,31.5,8.010589607343334
79,7,C#,1063,0,5,53.15,15.337846899355725
75,7,Java,114,2,3,5.7,1.065098251457051
261,64,Kotlin,540,7,14,27.0,7.792099069366127
6,0,Java,42,8,3,2.1,0.1
0,3,C#,193,7,1,9.65,2.097108405921996
29,3,Swift,2425,0,9,121.25,35.96535826914075
32,0,C#,563,10,4,28.15,8.349219309574096
2,0,JavaScript,250,3,2,12.5,5.058144879565357
5,0,Python,85,7,1,4.25,1.8120989373573069
1,1,JavaScript,85,0,1,4.25,1.728794258626344
4,0,Java,261,5,2,13.05,2.5590943192572744
20,4,Java,1485,9,5,74.25,22.29646597456282
33,2,Go,342,9,8,17.1,5.658341944923046
3,0,TypeScript,988,2,3,49.4,14.821970553515063
42,19,PHP,873,6,5,43.65,10.791987224643504
8,2,C,239,3,1,11.95,3.7391523037127006
37,12,JavaScript,736,2,6,36.8,10.980238021525947
3,0,C#,103,4,1,5.15,3.7860860243281667
0,1,C++,128,0,1,6.4,0.1
29,5,Java,1529,0,5,76.45,24.451885710748147
2,0,JavaScript,85,0,1,4.25,1.7400306668876224
4,4,PHP,75,2,2,3.75,0.1
0,0,Dart,125,0,1,6.25,0.9563634723784026
1,0,C#,89,15,1,4.45,0.19994044423495638
27,2,C,411,3,5,20.55,4.705258257032845
1,0,Lua,62,1,1,3.1,1.8514257770416531
38,9,TypeScript,1965,2,7,98.25,28.77658221484955
22,2,Rust,233,4,4,11.65,3.2048283639054054
29,14,Java,248,4,3,12.4,2.5449770669751954
12,16,Lua,667,2,5,33.35,12.588262489110626
2,0,Python,421,6,1,21.05,6.163108573407283
10,3,TypeScript,311,2,3,15.55,4.531669234111604
20,6,Kotlin,937,2,4,46.85,11.807923024018702
58,17,JavaScript,243,0,11,12.15,4.295282117028579
11,0,PHP,372,7,5,18.6,8.529960037311906
29,12,TypeScript,793,1,7,39.65,11.532805797553554
22,9,Julia,443,16,2,22.15,7.255571689657022
2,1,Scala,131,0,1,6.55,3.1461264414351033
4,8,JavaScript,122,5,1,6.1,2.164875589486286
7,5,Ruby,311,9,3,15.55,4.404493043571067
9,1,JavaScript,61,8,1,3.05,1.5190607252764061
11,0,Rust,358,4,1,17.9,4.019740445773627
3,0,Rust,42,1,1,2.1,2.250374169991179
31,8,Swift,833,4,8,41.65,14.263856511464901
4,3,Python,153,1,2,7.65,1.5090893122160518
3,0,JavaScript,239,8,1,11.95,2.8561223444009736
3,9,C#,406,13,2,20.3,4.388622706541914
20,2,Go,758,7,4,37.9,11.815802582593887
16,6,Java,2871,7,8,143.55,43.44241837091662
2,1,Python,10,5,1,0.5,0.41930615914113056
17,10,TypeScript,502,1,6,25.1,7.017622712863242
5,4,Kotlin,116,14,4,5.8,0.49673747452674255
60,8,Python,273,3,10,13.65,3.427171512866569
227,20,TypeScript,3270,9,14,163.5,50.9075356220234
2,0,Shell,100,15,1,5.0,1.2571547986324172
24,4,Python,1058,4,7,52.9,16.37968067051798
50,0,C#,1344,9,5,67.2,21.57510135515423
10,2,JavaScript,2203,1,6,110.15,33.480910646153774
18,1,Kotlin,553,4,6,27.65,8.259909708085644
3,0,C#,44,7,1,2.2,0.42797490718497766
4,0,Scala,97,6,1,4.85,2.5232744789771626
1,0,JavaScript,223,4,1,11.15,2.753461927418002
1,0,Go,114,2,1,5.7,2.2398100332680633
9,11,Ruby,768,0,5,38.4,12.919454583775343
0,3,JavaScript,300,6,1,15.0,4.284420092505827
3,11,JavaScript,206,4,1,10.3,3.422854094141469
8,0,Python,281,0,1,14.05,3.24877287621961
20,7,Dart,361,2,8,18.05,5.785547038434197
0,0,C#,105,0,1,5.25,1.1905294422081436
0,0,Rust,79,2,1,3.95,0.7312915098231978
75,21,C#,486,13,6,24.3,7.76816552571782
15,0,Go,607,4,3,30.35,7.413991356193369
6,0,Java,126,3,1,6.3,0.9395008134083215
5,0,Java,10,5,1,0.5,0.22818269788396928
6,0,Rust,48,25,1,2.4,1.0714539818366182
2,0,JavaScript,845,2,3,42.25,11.357956818846255
18,1,Scala,692,6,7,34.6,10.79431434053401
77,4,PHP,615,8,10,30.75,10.17087231407576
16,0,TypeScript,135,7,1,6.75,2.9712932942163945
89,21,Go,2036,6,8,101.8,31.256301921896245
9,0,Python,356,1,2,17.8,4.5719604771887905
0,0,Julia,113,5,1,5.65,0.2708375966077028
15,0,C,63,21,1,3.15,3.37371312368552
0,4,C,233,1,1,11.65,3.2707981099005283
25,9,JavaScript,1010,1,4,50.5,13.304218086057023
13,7,Python,1259,6,5,62.95,18.52644826718102
3,0,JavaScript,227,0,3,11.35,1.6414331222439382
9,0,Python,225,4,3,11.25,3.4065891980965612
247,16,Python,109,2,4,5.45,0.8939344060794994
14,9,Python,348,2,7,17.4,5.968153300458815
31,13,Lua,934,2,7,46.7,14.119344118757681
2,2,Python,78,2,1,3.9,0.1331904353219353
29,9,Python,2941,8,7,147.05,44.86241625405655
9,1,Swift,746,0,3,37.3,10.333366321208914
1,2,Go,177,4,1,8.85,3.012217084603991
4,10,Ruby,421,0,3,21.05,6.359791116932936
182,11,Rust,1234,15,6,61.7,19.128699094134717
5,0,Scala,43,3,4,2.15,0.9104241235331523
36,2,Rust,548,1,6,27.4,8.381551270541713
1,2,Java,103,7,1,5.15,2.606305423995517
33,0,C#,2169,1,5,108.45,31.43520813298078
9,0,Java,23,0,1,1.15,1.5202976274156952
51,20,TypeScript,173,8,2,8.65,2.233440124026384
3,0,Java,166,6,3,8.3,3.4355930169600404
8,1,Python,86,2,2,4.3,0.37378592205347894
16,14,PHP,261,12,5,13.05,3.2307036363789416
21,7,JavaScript,2147,0,8,107.35,32.762906823423116
7,0,Python,288,18,5,14.4,5.481145600194683
0,0,JavaScript,27,9,1,1.35,0.8632322248216
0,0,Swift,27,3,1,1.35,0.2560458745448001
354,78,JavaScript,540,12,10,27.0,7.706485286040179
7,2,C++,746,8,2,37.3,9.16214884244329
7,0,Kotlin,336,2,1,16.8,4.378132961604162
11,7,Python,305,9,2,15.25,4.081037405272958
632,125,Ruby,2567,34,7,128.35,39.60806875993808
4,0,JavaScript,160,6,2,8.0,0.42880664513548505
10,1,JavaScript,178,1,4,8.9,3.438744313915934
1,1,C++,339,4,2,16.95,3.6041350591843964
2,1,C,181,5,1,9.05,1.9719607314992755
0,0,JavaScript,102,2,1,5.1,3.5141772965745646
4,1,Go,1024,4,4,51.2,13.76909423465014
9,0,JavaScript,1254,1,5,62.7,19.150045800416933
3,5,Go,111,5,1,5.55,2.4284760158971097
15,7,Rust,103,4,5,5.15,2.324887511814086
0,1,Rust,63,2,1,3.15,0.9403252387697542
6,3,Rust,664,13,4,33.2,7.623517340419397
1,7,Python,208,3,1,10.4,2.499595192783322
2,6,C++,361,1,3,18.05,5.704217434407233
0,1,C++,218,13,1,10.9,4.051106615005053
4,12,C++,33,2,1,1.65,1.137130850252238
24,0,Python,539,3,7,26.95,10.552199808154054
4,0,Java,63,7,4,3.15,0.9976443763978187
1,0,TypeScript,135,9,1,6.75,3.391044193908624
33,7,Python,410,5,2,20.5,6.026743317969624
13,0,JavaScript,374,5,5,18.7,6.301386255302434
12,0,Java,169,23,6,8.45,2.6078241254052728
0,1,C#,47,4,1,2.35,0.1
11,0,JavaScript,89,4,2,4.45,0.1
5,0,Swift,288,3,3,14.4,2.309396344769372
18,5,Go,345,0,3,17.25,4.984520110684685
90,11,Ruby,805,3,4,40.25,10.864763524988028
19,4,Java,2662,6,5,133.1,41.43391951871423
3,0,Java,128,4,1,6.4,2.949733969752089
0,4,Rust,22,2,1,1.1,0.554595459838233
4,0,C,39,1,3,1.95,0.3582028678748379
0,0,Java,192,0,1,9.6,1.7173037967223084
5,9,Java,307,6,4,15.35,6.044315402227653
1,0,Rust,15,2,1,0.75,0.9102627189382556
1,0,C#,157,2,1,7.85,0.1
2,0,Python,37,15,1,1.85,0.1
13,0,Java,100,2,6,5.0,0.4963746635876489
24,3,Java,108,3,1,5.4,0.900704838749832
6,5,C,356,3,5,17.8,4.016546964350539
10,1,Java,342,0,5,17.1,3.6888971242295296
